CreditScore,Age,Balance,NumOfProducts,IsActiveMember,Geography_Germany,Geography_Spain,Gender_Male
749,34,0.0,1,0,0,1,1
640,32,118879.35,2,1,0,1,0
447,32,0.0,1,1,0,0,0
704,24,0.0,1,0,0,1,0
611,27,0.0,2,1,0,0,1
685,43,117302.62,1,0,0,1,0
551,35,129717.3,2,0,0,0,1
725,39,50880.98,2,1,1,0,1
535,58,0.0,2,1,0,1,1
584,62,137727.34,2,1,1,0,0
737,45,0.0,2,0,0,0,1
556,37,145018.64,2,0,1,0,1
544,47,105245.21,1,0,1,0,1
535,49,0.0,1,0,0,0,0
773,47,118079.47,4,1,1,0,1
510,45,103821.47,2,1,0,0,0
850,33,0.0,1,0,0,0,1
543,37,122304.65,2,0,1,0,0
709,35,111827.27,2,0,0,1,0
667,31,99513.91,1,1,0,0,1
521,30,107316.09,1,0,0,0,1
707,40,0.0,2,0,0,0,1
670,33,84521.48,2,1,1,0,0
701,36,0.0,2,0,0,1,1
601,29,0.0,1,1,0,0,1
492,39,0.0,2,1,0,0,1
586,29,0.0,2,1,0,0,1
732,35,0.0,2,0,0,0,0
660,33,0.0,1,0,0,1,1
495,40,140197.71,2,0,0,0,0
766,44,116822.7,1,0,1,0,1
600,43,133379.41,1,0,1,0,1
572,38,0.0,2,1,0,0,0
760,34,0.0,2,0,0,0,1
796,40,99745.95,1,0,1,0,0
729,39,121404.64,1,1,0,0,1
461,25,0.0,2,1,0,1,0
724,48,110463.25,2,1,1,0,0
641,35,0.0,2,0,0,0,1
626,37,133968.96,2,0,0,0,0
569,42,146100.75,1,0,1,0,0
655,32,113447.01,1,0,1,0,1
588,41,131341.46,2,1,1,0,1
649,78,68345.86,2,1,1,0,1
765,44,0.0,2,1,0,0,1
594,36,153880.15,1,0,0,0,1
650,25,160599.06,2,1,0,1,1
707,40,0.0,2,0,0,0,0
714,29,0.0,2,1,0,1,1
621,39,0.0,2,1,0,0,1
773,33,0.0,2,1,0,0,1
659,29,123192.12,1,1,0,0,1
596,37,0.0,1,1,0,0,1
664,40,125608.72,1,0,0,0,1
732,69,137453.43,1,1,0,1,0
650,26,214346.96,2,0,1,0,1
673,39,138160.0,1,1,0,1,1
653,34,118838.75,1,1,0,0,1
510,44,0.0,2,1,0,0,1
815,37,166115.42,1,0,0,0,1
815,57,0.0,3,0,0,1,0
834,23,131254.81,1,0,0,0,1
678,38,0.0,2,0,0,0,1
679,38,110555.37,2,0,1,0,1
622,43,0.0,2,0,0,0,1
641,77,0.0,3,1,0,0,1
493,46,0.0,2,0,0,0,0
567,54,92316.31,2,0,0,1,0
625,49,173434.9,1,0,0,0,1
573,35,134498.54,2,1,1,0,1
850,28,0.0,2,1,0,0,0
634,31,76798.92,1,0,1,0,0
452,33,131698.57,2,0,0,0,0
598,44,0.0,2,0,0,1,1
586,37,167735.69,2,1,1,0,1
713,42,109121.71,1,1,0,1,1
595,31,0.0,2,0,0,0,1
699,36,147137.74,1,1,1,0,1
756,23,112568.31,1,1,0,0,0
582,32,88938.62,1,1,1,0,1
727,31,82729.47,2,0,1,0,0
640,55,132436.34,1,0,0,0,1
609,53,0.0,1,1,0,1,1
576,39,0.0,2,1,0,0,1
767,42,133616.39,1,0,0,0,0
695,39,65521.2,1,1,0,1,1
552,42,0.0,2,0,0,1,1
572,24,0.0,2,1,0,0,1
667,40,72945.29,2,0,0,0,1
592,36,126477.42,1,0,0,0,1
850,37,0.0,1,0,0,0,0
596,34,99441.21,2,1,1,0,1
527,47,0.0,1,0,0,0,1
607,48,112070.86,3,0,0,0,0
731,29,179539.2,1,0,0,0,1
748,40,103499.09,2,0,1,0,0
555,62,114822.64,1,1,1,0,0
652,37,145219.3,1,0,1,0,0
684,37,138476.41,2,1,1,0,1
520,49,121197.64,1,0,0,0,1
569,41,120243.49,1,0,0,0,1
439,36,165536.28,2,1,0,0,1
606,32,106301.85,2,1,1,0,0
532,37,0.0,2,1,0,1,0
713,53,115029.4,1,0,0,0,1
676,40,114005.78,1,1,0,0,1
709,45,0.0,2,1,0,1,0
726,35,0.0,2,1,0,1,0
508,28,96213.82,2,0,1,0,1
722,43,0.0,1,0,0,1,1
643,48,0.0,2,0,0,1,1
663,27,0.0,2,0,0,0,0
770,36,89800.14,1,1,0,0,1
677,25,0.0,2,0,0,0,0
464,38,116439.65,1,0,0,0,1
516,35,128653.59,1,0,0,0,1
721,36,155176.83,2,1,0,0,1
674,32,0.0,2,0,0,1,1
756,27,131899.0,1,0,1,0,1
437,28,109161.25,1,0,0,1,1
683,40,95053.1,1,1,0,1,1
555,46,120392.99,1,0,1,0,0
614,44,118715.86,1,0,1,0,0
682,29,101012.77,1,0,1,0,0
586,41,63873.56,1,0,0,1,1
793,32,96408.98,1,1,1,0,0
666,59,0.0,2,1,0,0,0
648,35,0.0,2,1,0,1,1
831,32,80262.66,1,0,1,0,1
741,52,171236.3,2,0,0,0,1
554,26,92606.86,2,0,0,0,0
621,27,74298.43,1,1,1,0,1
650,41,128808.65,3,0,0,1,1
716,42,0.0,2,0,0,1,1
635,29,105405.97,1,1,0,0,1
782,35,98556.89,2,0,1,0,1
518,45,105525.65,2,1,0,0,0
850,38,106871.81,2,0,0,0,0
650,25,114330.95,1,1,1,0,0
580,65,106804.26,3,0,0,0,0
588,22,67178.19,1,1,0,1,0
764,24,98148.61,1,0,0,0,1
513,45,164649.52,3,0,0,0,0
444,40,84350.07,1,0,0,0,0
665,51,0.0,1,1,0,1,0
516,50,0.0,1,1,0,1,1
498,44,120702.67,2,1,1,0,0
554,35,74988.59,2,1,0,0,0
608,34,88772.87,1,1,0,0,0
644,33,0.0,2,1,0,0,1
744,42,112419.92,1,1,0,0,1
675,33,141816.25,1,0,1,0,0
766,28,90696.78,1,1,1,0,0
614,32,99462.8,2,1,1,0,1
547,43,92350.36,1,1,0,0,1
468,32,137649.47,1,0,0,0,0
694,22,0.0,2,1,0,0,0
580,36,74974.89,1,1,1,0,0
581,41,127913.71,2,1,1,0,1
603,44,0.0,1,0,0,0,1
719,36,155423.17,1,1,0,0,1
516,33,115195.58,1,1,0,0,1
483,27,77805.66,1,1,0,0,1
801,42,141947.67,1,1,0,1,1
554,66,0.0,2,1,0,1,1
758,35,0.0,2,0,0,0,1
584,37,134171.8,4,1,1,0,0
618,41,115251.64,1,0,0,1,1
576,41,112609.91,1,0,0,0,0
576,36,166287.85,1,1,1,0,0
523,28,121164.11,1,1,0,0,0
499,39,0.0,2,1,0,1,1
517,56,142147.32,1,0,0,0,1
607,24,109483.54,2,1,1,0,0
731,41,0.0,2,0,0,1,1
682,38,107192.38,1,1,0,0,1
741,35,74371.49,1,0,0,1,1
608,66,123935.35,1,1,0,1,1
699,32,110559.46,1,1,0,0,0
623,34,0.0,1,0,0,0,0
755,40,137430.82,2,0,1,0,1
809,33,0.0,1,1,0,1,1
648,43,81153.82,1,1,0,1,0
426,34,0.0,2,0,0,0,1
819,49,120656.86,4,0,1,0,0
703,44,98862.54,1,0,0,0,1
605,32,0.0,2,1,0,0,1
652,42,0.0,2,1,0,1,0
743,34,131736.88,1,1,1,0,0
698,36,82275.35,2,1,0,0,1
520,32,110029.77,1,0,1,0,1
813,27,137275.36,1,1,0,1,1
547,42,142703.4,1,0,1,0,0
680,31,127331.46,3,1,1,0,0
850,31,91292.7,1,1,0,1,0
485,30,156771.68,1,1,1,0,0
510,30,0.0,2,1,0,0,0
616,57,116936.81,1,1,1,0,0
641,32,122947.92,1,1,1,0,1
738,29,0.0,2,1,0,0,1
624,51,174397.21,2,1,0,1,1
690,48,0.0,2,1,0,1,0
790,20,0.0,2,0,0,1,1
613,30,111927.45,1,1,0,1,1
748,39,132865.56,1,1,0,0,0
635,34,134692.4,2,1,0,0,1
546,52,0.0,1,0,0,0,0
623,24,0.0,2,0,0,0,0
563,46,106171.68,1,0,0,1,0
701,29,0.0,2,0,0,0,1
842,44,141252.18,4,1,0,0,1
716,33,0.0,2,1,0,1,1
686,41,128876.71,3,1,0,0,1
567,35,153137.74,1,0,0,1,1
556,40,129860.37,1,0,0,0,0
680,34,0.0,2,0,0,1,0
703,28,81173.83,2,1,0,0,1
672,43,0.0,2,1,0,1,1
850,56,169743.83,1,0,1,0,1
641,26,91547.84,2,1,0,0,0
657,57,107174.58,1,1,1,0,1
718,37,0.0,2,1,0,0,1
527,33,132168.28,1,0,0,1,1
554,39,129709.62,1,0,0,0,1
585,67,113978.97,2,1,0,0,0
687,47,0.0,2,1,0,0,0
619,42,132796.04,3,1,1,0,0
793,54,128966.13,1,0,1,0,1
707,32,0.0,2,0,0,1,1
566,44,141428.99,2,0,1,0,0
787,43,132217.45,1,0,1,0,1
623,48,108076.33,1,0,1,0,0
694,37,95668.82,2,0,1,0,1
712,29,0.0,1,1,0,0,0
771,50,105229.72,1,1,0,0,1
623,48,118469.38,1,1,0,0,1
691,37,149405.18,1,1,0,0,1
705,43,79974.55,1,1,1,0,0
507,33,0.0,2,1,0,0,1
558,26,148853.29,2,1,1,0,1
556,61,117419.35,1,1,0,0,0
785,54,0.0,2,0,0,1,0
678,36,107379.68,1,1,0,0,1
694,36,97530.25,1,1,0,0,1
708,51,70754.18,1,1,0,0,0
850,53,65407.16,2,0,0,1,0
699,49,0.0,1,0,0,0,0
753,46,0.0,3,0,0,0,1
673,29,99097.36,1,1,1,0,0
774,43,116360.07,1,0,0,1,0
753,35,82453.96,2,0,1,0,0
789,37,110689.07,1,1,1,0,0
664,44,77526.66,3,0,0,1,1
751,29,147737.63,1,1,0,0,1
686,37,134560.62,1,0,0,0,1
651,45,0.0,2,0,0,1,1
589,46,0.0,2,1,0,1,0
592,37,0.0,2,1,0,0,0
593,50,171740.69,1,0,0,0,1
531,64,175754.87,2,1,1,0,0
695,52,103023.26,1,1,1,0,1
559,62,118756.62,1,1,0,0,1
700,30,116377.48,1,1,1,0,0
630,28,106425.75,1,1,1,0,0
627,73,146329.73,1,1,0,0,1
602,59,0.0,2,1,0,0,1
694,31,109052.59,2,1,1,0,1
661,47,109493.62,1,0,1,0,0
532,43,0.0,2,0,0,0,1
487,24,133628.09,2,1,0,0,1
779,32,80728.15,1,0,0,0,1
637,33,113913.53,1,1,0,0,0
593,32,134096.53,2,0,1,0,0
790,46,131365.37,2,1,0,1,1
639,27,0.0,2,0,0,0,0
747,36,102603.3,2,1,1,0,1
677,27,0.0,2,1,0,0,0
492,38,57068.43,2,0,1,0,0
584,30,0.0,2,1,0,1,0
632,40,109740.62,1,0,0,1,0
764,39,81042.42,1,1,0,0,0
452,44,88915.85,1,0,0,1,1
603,38,59360.77,1,1,0,0,1
595,32,92466.21,1,0,1,0,0
539,22,100885.93,2,1,0,0,0
569,30,139528.23,1,1,0,1,0
790,25,152885.77,1,0,1,0,0
673,37,0.0,1,1,0,0,1
600,39,0.0,2,0,0,0,0
619,25,0.0,1,0,0,0,1
759,40,0.0,2,0,0,0,1
670,35,79585.96,1,1,1,0,0
846,38,0.0,1,1,0,0,0
648,33,135310.41,2,1,1,0,1
771,23,156123.73,1,0,0,0,0
705,48,114169.16,1,0,1,0,1
666,51,148222.65,1,0,0,0,1
574,36,77967.5,1,0,0,1,1
519,38,114141.64,1,1,1,0,1
446,45,125191.69,1,1,0,1,0
664,25,172812.72,2,1,1,0,1
690,31,137260.45,2,0,1,0,1
754,57,101134.87,2,1,1,0,1
617,38,0.0,1,1,0,1,1
777,32,0.0,1,0,0,0,0
582,46,67563.31,1,0,0,1,0
800,46,0.0,2,0,0,1,0
634,26,0.0,1,0,0,0,1
653,29,0.0,2,1,0,0,1
582,26,65848.36,2,0,0,1,1
577,36,121092.47,2,1,0,0,1
669,50,201009.64,1,0,0,0,1
646,36,124445.52,1,0,0,0,1
546,34,165363.31,2,1,0,0,1
744,29,123737.04,2,0,1,0,1
576,46,137367.94,1,1,1,0,1
622,31,89688.94,1,1,0,0,0
686,31,0.0,2,0,0,0,0
350,60,0.0,1,0,0,0,0
478,36,92363.3,2,0,0,1,0
821,42,87807.29,2,1,1,0,1
607,37,135927.06,1,0,1,0,0
632,43,100013.51,1,0,0,0,1
738,62,83008.31,1,1,1,0,1
445,30,0.0,2,1,0,0,0
681,44,105206.7,2,1,1,0,0
700,27,137963.07,1,0,0,0,0
631,46,160736.63,1,1,0,1,1
768,30,0.0,2,1,0,0,1
651,45,0.0,1,0,0,0,1
637,40,133463.1,1,1,0,0,1
685,33,0.0,3,1,0,0,0
651,42,116646.76,1,0,1,0,0
580,61,125921.37,1,1,0,1,1
737,45,0.0,2,1,0,1,0
631,41,0.0,1,0,0,1,0
558,41,124227.14,1,1,1,0,1
583,51,125268.03,2,0,0,0,1
850,36,0.0,2,0,0,1,1
784,48,0.0,2,1,0,1,1
850,32,0.0,2,1,0,0,0
730,62,0.0,2,1,0,1,0
838,41,0.0,2,0,0,1,0
639,37,98186.7,1,1,0,0,1
702,45,74989.58,1,1,0,0,1
709,24,110949.41,1,1,0,0,0
639,34,139393.19,2,0,0,1,1
451,36,0.0,2,1,0,0,0
716,41,0.0,1,1,0,0,1
479,27,172463.45,1,1,0,1,1
846,34,142388.61,2,1,0,0,0
748,36,141573.55,1,0,0,1,1
661,38,143006.7,1,1,0,1,1
751,28,132932.14,2,1,1,0,0
662,72,140301.72,1,1,0,1,0
584,28,0.0,2,0,0,0,1
765,34,91835.16,1,0,0,0,1
713,38,72286.84,2,1,0,0,1
747,37,135776.36,3,0,1,0,1
578,34,147487.23,2,0,1,0,1
632,40,147650.68,1,1,0,0,1
558,32,105000.23,1,0,0,0,1
617,41,0.0,2,1,0,0,1
652,51,0.0,1,0,0,0,0
611,36,103294.56,1,0,1,0,0
507,34,0.0,2,1,0,1,0
678,51,145751.03,1,0,1,0,0
756,60,115924.89,1,0,1,0,0
715,21,76467.16,1,1,0,0,1
771,38,137657.71,2,0,1,0,0
614,49,0.0,2,0,0,0,1
761,31,0.0,3,1,0,0,1
766,37,99660.13,2,1,1,0,1
726,38,0.0,2,0,0,0,0
659,32,155584.21,1,1,0,0,0
820,33,132150.26,2,0,0,0,1
521,41,120586.54,1,1,1,0,1
794,41,0.0,2,1,0,0,0
733,33,187257.94,1,1,1,0,0
835,35,127120.07,1,0,0,0,1
592,42,147249.29,2,1,0,0,1
739,29,59385.98,2,1,1,0,1
777,42,147531.82,1,1,0,0,0
645,25,174400.36,1,0,0,0,1
709,28,124695.72,2,0,1,0,1
590,51,84474.62,2,1,0,1,0
611,53,83568.26,1,0,0,0,1
706,32,94486.47,1,1,0,0,1
592,37,0.0,3,1,0,1,1
575,26,0.0,2,0,0,1,0
718,35,167924.95,1,0,0,0,0
685,39,0.0,2,1,0,1,1
507,31,111589.67,1,0,1,0,1
703,45,0.0,1,0,0,1,0
677,34,171671.9,1,1,0,1,0
741,19,108711.57,2,0,1,0,0
599,31,0.0,1,1,0,1,0
731,70,0.0,2,1,0,1,1
543,42,0.0,1,1,0,0,1
594,41,122545.65,2,1,1,0,1
684,38,105069.98,2,1,0,0,1
464,34,76001.57,1,1,0,1,0
607,27,0.0,2,0,0,0,0
610,25,0.0,2,0,0,0,0
666,43,137780.74,2,1,0,0,1
615,32,138521.83,1,1,0,1,1
620,42,0.0,2,0,0,0,1
437,49,111634.29,2,1,0,0,1
775,40,126212.64,1,0,0,0,1
612,62,140745.33,1,0,1,0,0
592,28,137222.77,1,0,0,0,1
514,26,0.0,2,0,0,0,1
503,28,0.0,2,0,0,0,0
593,31,112713.34,1,1,0,1,1
670,31,142631.54,2,1,1,0,1
788,55,0.0,1,1,0,0,1
681,59,122781.51,1,1,0,0,1
618,48,0.0,1,0,0,0,1
678,36,118448.15,2,0,1,0,1
703,36,135095.47,1,0,0,1,1
595,32,131081.66,2,1,1,0,1
596,41,0.0,2,1,0,1,1
671,31,0.0,2,1,0,1,0
701,34,107980.37,1,1,0,1,0
695,37,0.0,2,1,0,0,1
629,28,108601.0,1,1,1,0,1
762,56,100260.88,3,1,1,0,1
687,29,93617.07,1,1,0,1,0
605,41,0.0,2,1,0,0,1
745,46,0.0,2,1,0,0,0
638,34,0.0,2,1,0,0,0
776,39,125211.55,2,0,0,0,1
567,41,0.0,2,0,0,1,0
586,57,0.0,2,1,0,1,0
702,23,98775.23,1,0,1,0,0
695,29,0.0,2,0,0,0,0
606,46,0.0,2,1,0,1,0
646,37,96558.66,1,0,0,0,0
659,33,115409.6,1,1,0,1,0
547,32,155726.85,1,0,1,0,1
627,41,0.0,2,0,0,0,1
672,53,0.0,1,1,0,0,0
612,33,69478.57,1,0,0,1,1
815,25,135161.67,1,1,1,0,0
529,61,0.0,2,1,0,0,1
669,29,0.0,2,1,0,0,1
622,26,0.0,2,1,0,0,1
724,31,138166.3,1,0,1,0,1
733,31,157791.07,2,0,1,0,1
774,40,93017.47,2,0,0,0,1
534,29,174851.9,1,1,0,0,1
686,34,0.0,2,0,0,0,0
597,44,78128.13,2,1,0,0,1
635,44,79064.85,2,1,1,0,0
542,43,145618.37,1,1,0,0,0
580,65,0.0,2,1,0,1,0
728,37,0.0,1,0,0,1,0
613,20,0.0,2,1,0,0,1
624,37,0.0,2,0,0,0,1
704,24,148197.15,2,0,0,0,1
718,29,0.0,1,0,0,0,1
675,39,0.0,2,0,0,0,1
678,41,143443.61,1,0,0,0,0
535,29,112367.34,1,0,0,0,0
617,58,119024.75,2,0,1,0,0
850,32,0.0,2,1,0,1,0
681,44,91115.76,2,0,1,0,0
618,42,153572.31,2,1,1,0,1
757,30,145396.49,1,1,0,1,1
765,37,102708.77,1,0,1,0,1
702,28,103033.83,1,1,1,0,1
655,38,250898.09,3,1,0,1,1
493,35,178317.6,1,0,1,0,0
581,47,122949.14,1,0,0,0,0
580,39,119688.81,1,0,1,0,1
564,33,135946.26,1,0,0,0,0
752,48,116060.08,1,0,0,1,1
659,29,82916.48,1,1,1,0,1
484,36,0.0,2,0,0,1,1
711,28,0.0,2,0,0,0,0
530,45,0.0,1,1,0,0,0
819,38,0.0,2,0,0,0,0
721,36,65253.07,2,0,1,0,0
548,35,0.0,1,1,0,0,0
702,46,98444.19,1,1,0,0,0
683,40,0.0,1,0,0,1,1
674,43,85957.88,2,0,1,0,1
639,27,133806.54,2,0,0,1,0
601,48,163630.76,1,1,1,0,1
559,34,0.0,1,0,0,1,1
601,24,0.0,2,0,0,1,1
705,24,100169.51,1,0,0,0,0
539,38,0.0,2,0,0,0,1
680,33,183768.47,1,0,0,0,1
581,43,93259.57,3,0,1,0,0
559,52,0.0,1,0,0,0,1
444,34,144318.97,1,0,0,0,1
624,36,0.0,2,0,0,0,1
728,34,106328.08,1,0,0,0,1
809,42,64497.94,3,1,1,0,0
797,55,0.0,4,1,0,0,0
774,35,121418.62,1,1,0,0,0
777,34,96693.66,1,1,1,0,0
804,71,0.0,2,1,0,0,0
714,33,35016.6,1,0,1,0,1
652,38,0.0,2,1,0,0,1
518,28,85146.36,1,0,0,0,0
778,29,123229.46,1,0,1,0,0
743,39,119695.75,1,1,1,0,1
685,38,111798.06,2,1,1,0,1
528,46,135555.66,1,0,1,0,0
718,34,113922.44,2,0,0,1,1
607,32,144272.07,2,0,1,0,1
590,32,0.0,2,0,0,0,1
774,42,137781.65,1,0,0,0,0
626,35,88109.81,1,1,1,0,1
522,41,144147.68,1,1,0,0,1
507,35,0.0,2,0,0,0,0
725,36,118851.05,1,1,0,0,0
554,31,135470.9,1,0,1,0,0
850,32,156001.68,2,1,0,0,1
691,38,0.0,2,0,0,0,1
430,35,118894.22,1,0,0,0,1
575,46,0.0,2,1,0,0,1
581,43,78022.61,1,1,0,1,1
410,33,125789.69,1,0,0,0,1
530,37,0.0,2,1,0,1,1
614,36,0.0,2,0,0,1,1
650,42,194532.66,1,0,0,1,1
826,49,0.0,1,0,0,0,0
713,43,86394.14,1,1,0,0,1
613,46,167795.6,1,1,0,0,0
487,37,0.0,2,1,0,0,1
687,28,108116.66,1,1,0,0,1
850,44,0.0,2,1,0,1,1
611,68,82547.11,2,1,0,0,1
483,41,118334.44,1,0,1,0,1
635,38,0.0,2,0,0,1,0
544,22,0.0,2,0,0,1,1
612,42,75497.51,1,0,0,0,0
739,27,98926.4,1,1,0,1,0
777,44,124655.59,2,1,1,0,1
776,37,93124.04,2,1,1,0,0
495,38,63093.01,1,1,0,0,0
652,34,97435.85,2,1,0,0,0
676,61,0.0,2,1,0,0,0
610,26,0.0,2,0,0,0,1
840,51,87779.83,1,1,1,0,0
567,42,0.0,2,1,0,0,1
568,32,169399.6,1,0,0,1,0
678,32,0.0,2,0,0,0,0
606,40,95293.86,2,1,1,0,1
767,31,0.0,2,1,0,1,1
652,37,92208.54,1,1,0,0,0
759,35,147936.42,1,1,0,1,0
663,64,0.0,2,1,0,1,1
498,46,91857.66,1,0,0,0,1
594,31,79340.95,1,0,0,0,0
684,48,73309.38,1,0,0,0,0
611,30,0.0,2,1,0,0,1
740,43,0.0,1,0,0,1,1
625,45,137555.44,1,0,0,0,1
798,28,0.0,2,0,0,0,1
611,46,0.0,2,0,0,1,1
538,40,0.0,2,1,0,1,1
739,32,102128.27,1,0,1,0,1
684,27,134603.88,1,1,0,0,1
688,45,103399.87,1,0,1,0,1
701,37,0.0,2,0,0,0,1
687,72,0.0,1,1,0,0,0
678,29,0.0,2,0,0,1,1
525,37,0.0,1,1,0,1,0
800,29,0.0,2,0,0,0,0
584,54,77354.37,1,0,1,0,0
484,34,148249.54,1,1,1,0,0
753,30,110824.52,1,1,1,0,1
745,33,0.0,2,1,0,0,0
601,37,0.0,1,0,0,0,0
681,31,97338.19,2,0,1,0,1
679,30,77949.69,1,1,1,0,0
479,48,87070.23,1,1,0,1,1
507,42,0.0,2,0,0,0,1
744,36,153804.44,1,1,0,1,1
498,41,87541.06,2,1,1,0,0
774,26,0.0,2,1,0,0,0
629,33,0.0,2,1,0,0,0
683,35,132371.3,2,0,1,0,0
798,49,132571.67,1,1,1,0,0
850,31,121237.65,1,1,0,1,0
501,24,130806.42,2,0,1,0,1
477,36,117700.86,1,0,1,0,0
749,24,0.0,3,1,0,0,1
602,22,141604.76,1,0,0,1,0
813,27,111348.15,1,0,1,0,1
636,52,111284.53,1,1,0,1,1
706,35,0.0,2,1,0,0,1
617,35,104508.1,1,1,0,0,0
632,60,0.0,2,1,0,0,1
644,31,0.0,2,1,0,0,1
520,38,0.0,2,0,0,0,1
698,33,135658.73,2,1,0,0,1
583,48,91246.53,1,0,0,0,1
715,21,0.0,2,0,0,0,1
554,30,135370.12,1,1,0,1,1
693,28,0.0,2,1,0,0,0
726,31,114722.05,2,1,0,0,0
749,36,0.0,2,0,0,1,1
588,42,164307.77,1,0,1,0,0
453,29,0.0,1,0,0,0,1
698,52,96781.39,1,1,1,0,1
697,34,126558.92,1,0,0,0,0
685,58,104796.54,1,1,0,0,1
723,30,124119.54,1,0,0,0,1
681,79,0.0,2,1,0,0,0
608,30,91057.37,2,0,1,0,0
647,33,0.0,1,0,0,0,0
722,35,163943.89,2,1,0,0,0
747,29,117726.33,1,1,1,0,1
701,51,0.0,2,0,0,0,1
808,24,122168.65,1,0,0,0,1
654,36,0.0,2,1,0,1,0
491,19,125860.2,1,0,1,0,1
533,43,80442.06,2,1,1,0,1
607,25,121166.89,1,1,0,1,0
637,36,152606.82,1,1,0,0,1
743,39,0.0,2,0,0,0,1
632,65,129472.33,1,1,1,0,1
678,26,0.0,2,0,0,0,0
601,41,0.0,2,0,0,1,0
674,44,131593.85,1,1,1,0,0
535,40,111756.5,1,0,1,0,1
763,67,148564.66,1,1,0,1,1
595,41,138878.81,1,1,1,0,0
769,34,137239.17,1,1,1,0,0
607,39,84468.67,2,1,1,0,1
619,28,99152.73,2,0,1,0,0
597,30,119370.11,1,1,0,1,0
624,71,170252.05,3,1,0,0,0
657,50,0.0,2,0,0,0,1
512,41,0.0,1,1,0,0,0
527,35,0.0,1,0,0,1,0
565,49,0.0,2,1,0,0,1
709,31,0.0,2,1,0,0,1
673,41,0.0,1,1,0,0,1
606,36,94153.56,1,1,0,1,1
756,26,101641.14,2,1,0,0,0
547,49,121537.71,2,0,1,0,1
804,24,0.0,2,0,0,0,1
635,41,0.0,2,0,0,1,1
625,42,100047.33,1,0,1,0,1
676,30,128207.23,1,1,0,0,1
662,30,0.0,2,1,0,1,0
850,22,0.0,2,1,0,1,1
683,42,0.0,2,1,0,0,0
697,43,115371.94,2,0,1,0,1
682,48,101198.01,1,1,0,1,0
650,24,108881.73,1,0,0,1,1
834,33,0.0,2,0,0,1,1
753,57,0.0,1,0,0,0,1
715,32,104857.19,2,0,1,0,0
746,21,166883.07,2,1,0,0,0
803,32,192122.84,1,1,0,0,0
510,31,113688.63,1,0,1,0,1
763,32,0.0,2,0,0,1,0
593,44,0.0,1,0,0,1,1
351,57,163146.46,1,0,1,0,0
676,34,63095.01,1,1,0,0,0
579,31,0.0,2,0,0,0,1
629,37,35549.81,2,0,1,0,0
771,51,135506.58,3,1,0,1,1
660,38,0.0,2,1,0,0,1
814,31,0.0,2,1,0,0,0
560,31,115141.18,1,0,0,0,0
630,33,0.0,2,0,0,0,1
605,31,117992.59,1,1,1,0,0
680,32,92961.61,1,0,0,0,1
635,48,0.0,2,1,0,1,0
458,36,0.0,2,0,0,1,1
672,52,170008.84,1,0,0,0,1
663,39,0.0,1,0,0,0,1
742,32,160485.16,1,0,0,0,1
643,32,0.0,1,0,0,1,0
741,40,104784.23,1,0,0,1,1
690,47,0.0,2,0,0,0,1
568,40,99282.63,1,0,1,0,1
688,39,0.0,2,0,0,0,0
701,33,123870.07,1,0,0,1,0
521,38,0.0,2,0,0,0,1
526,32,131938.92,2,1,1,0,0
